stg;vert;pversion;pnr;pdtxt;ppruefer;pdauer;pform;psem;angeboten;(räume|aufsicht);rkapazität;anzstudenten;restplatz;tag;uhrzeit
MA;0;192;301929120;WPF Baul.u.Lean cons.Mgmt;1224;90;KL;20201;J;;0;0;0;0;08:00;
VB;0;121;6040;Betriebswirtschaft;6715;90;KL;20201;J;;0;0;0;0;08:00;
VIS;0;162;2010;Binnenschifffahrt u.Luftv;0203;105;KL;20201;J;;0;0;0;0;08:00;
BB;0;162;3040;Verkehrswesen I;6874;90;KL;20201;J;;0;0;0;0;08:00;
KI;0;1922;921921020;Stahl- und Stahlverbundb.;15282;150;KL;20201;J;;0;0;0;0;08:00;
AB;0;161;17890;Bauorganisation;1224;90;KL;20201;J;;0;0;0;0;08:00;
IB;0;192;11927360;WPF Baul.u.Lean cons.Mgmt;1224;90;KL;20201;J;;0;0;0;0;08:00;
WI;0;112;17140;Investition und Finanzi.;1678;90;KL;20201;J;;0;0;0;0;08:00;
IL;0;182;4040;Techn. Kommunikationsman.;8415;90;KL;20201;J;;0;0;0;0;08:00;
BB;0;192;601925011;Arbeitsschutz;8412;60;KL;20201;J;;0;0;0;0;08:00;
IM;0;172;17130;Hydrol.u.Wasser.Schwerp.E;6174;60;KL;20201;J;;0;0;0;0;08:00;
MB;0;182;2030;Math. Anwendungen 2;3213;60;KL;20201;J;;0;0;0;0;08:00;
IL;0;132;2060;Fremdsprachen 2;0381;60;KL;20201;J;;0;0;0;0;08:00;
AB;0;161;19160;WPF Fremdsprache;2839;0;KL;20201;J;;0;0;0;0;08:00;
AB;0;161;18230;WPF Techn. Infrastruktur;6174;90;KL;20201;J;;0;0;0;0;08:00;
IB;0;192;11927310;WPF Techn. Infrastruktur;6174;90;KL;20201;J;;0;0;0;0;08:00;
ST;0;91;1130;Computer Vision;1066;120;KL;20201;J;;0;0;0;0;08:00;
VIS;0;162;17700;Personal und Recht IV/Per;1369;60;KL;20201;J;;0;0;0;0;08:00;
VIS;0;162;2030;Rechtsverfahren u.Planung;0203;120;KL;20201;J;;0;0;0;0;08:00;
IM;0;131;19130;Internationaler ÖPNV;6874;60;KL;20201;J;;0;0;0;0;08:00;
IB;0;192;11927560;WPF Bauorganisation;1224;90;KL;20201;J;;0;0;0;0;08:00;
IB;0;172;3040;Fachwissen Möbel 3;00693;60;KL;20201;J;;0;0;0;0;08:00;
KI;0;192;921921010;Plan. u. Entw. Geotechnik;1126;60;KL;20201;J;;0;0;0;0;08:00;
VIS;0;162;17670;Bauman.III/Grdl.Bauvertra;15361;40;KL;20201;J;;0;0;0;0;08:00;
IB;0;192;11927410;WPF Umweltrecht;0461;60;KL;20201;J;;0;0;0;0;08:00;
BB;0;192;601924010;Geotechnik III;1126;90;KL;20201;J;;0;0;0;0;08:00;
VM;0;182;20350;Bau-/Immobilienwirtschaft;1202;60;KL;20201;J;;0;0;0;0;08:00;
IF;0;132;18030;Operations Research;3213;90;KL;20201;J;;0;0;0;0;08:00;
IM;0;131;19140;Bahntechnik;6874;45;KL;20201;J;;0;0;0;0;08:00;
SP;0;171;17820;Umweltrecht;0461;60;KL;20201;J;;0;0;0;0;08:00;
SP;0;171;3030;Bodenordnung und Immobil;0561;150;KL;20201;J;;0;0;0;0;08:00;
GP;0;182;17140;Schallimmisionsschutz 1;1471;60;KL;20201;J;;0;0;0;0;08:00;
SP;0;171;1030;Sekt. Entwicklungsplanung;1023;60;KL;20201;J;;0;0;0;0;08:00;
WI;0;112;4060;Unternehmens-Softw. 2;1426;60;KL;20201;J;;0;0;0;0;08:00;
PM;IBM;201;322011040;Project Managment;0553;60;KL;20201;J;;0;0;0;0;08:00;
PM;IBM;201;322011020;Management Basics;0553;60;KL;20201;J;;0;0;0;0;08:00;
BB;0;162;17160;Planungsrecht;1199;60;KL;20201;J;;0;0;0;0;08:00;
PM;IBM;191;1020;Management Basics;0553;90;KL;20201;J;;0;0;0;0;08:00;
IM;0;131;5050;Sonderthemen;0597;90;KL;20201;J;;0;0;0;0;08:00;
WP;0;132;9001;Diagnostik;2871;60;KL;20201;J;;0;0;0;0;08:00;
WI;0;112;17300;eCommerce;1426;90;KL;20201;J;;0;0;0;0;08:00;
IM;0;131;4015;Grundlagen Arbeitsschutz;8412;45;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;2025;Vorl. Grundlagen Physik 2;1471;0;KL;20201;J;;0;0;0;0;08:00;
GP;0;182;17100;Theor.Bauphy.Schall;1471;60;KL;20201;J;;0;0;0;0;08:00;
IM;0;131;5000;Arbeitsschutzmanagement;15994;60;KL;20201;J;;0;0;0;0;08:00;
IL;0;182;4050;Recht, Qualitätsmanagemen;2413;120;KL;20201;J;;0;0;0;0;08:00;
IL;0;182;4010;Datenbanksysteme;1835;60;KL;20201;J;;0;0;0;0;08:00;
AB;0;161;19200;WPF Baul.u.Lean cons.Mgmt;1224;90;KL;20201;J;;0;0;0;0;08:00;
WBI;0;112;16080;Energiekonzepte;5454;45;KL;20201;J;;0;0;0;0;08:00;
PB;0;132;4020;Wärmeschutz 2;0346;90;KL;20201;J;;0;0;0;0;08:00;
